index,team,player_1,player_2,score_1,score_2
675,Delhi Capitals,SS Iyer,PP Shaw,0,0
676,Delhi Capitals,SS Iyer,RR Pant,15,18
677,Delhi Capitals,CA Ingram,RR Pant,12,10
678,Delhi Capitals,SE Rutherford,RR Pant,11,11
679,Delhi Capitals,AR Patel,RR Pant,1,14
696,Sunrisers Hyderabad,MJ Guptill,WP Saha,25,20
697,Sunrisers Hyderabad,MJ Guptill,MK Pandey,5,9
698,Sunrisers Hyderabad,KS Williamson,MK Pandey,1,0
699,Sunrisers Hyderabad,KS Williamson,V Shankar,18,27
700,Sunrisers Hyderabad,YK Pathan,KS Williamson,3,16
701,Sunrisers Hyderabad,Mohammad Nabi,KS Williamson,4,6
702,Sunrisers Hyderabad,KS Williamson,Rashid Khan,1,1
703,Sunrisers Hyderabad,KS Williamson,B Kumar,28,7
709,Chennai Super Kings,SR Watson,F du Plessis,7,21
710,Chennai Super Kings,SK Raina,F du Plessis,53,67
711,Chennai Super Kings,MS Dhoni,F du Plessis,5,8
712,Chennai Super Kings,MS Dhoni,AT Rayudu,2,1
713,Chennai Super Kings,MS Dhoni,KM Jadhav,1,0
714,Chennai Super Kings,MS Dhoni,DJ Bravo,2,1
715,Mumbai Indians,RG Sharma,Q de Kock,14,30
716,Mumbai Indians,RG Sharma,SA Yadav,41,46
724,Mumbai Indians,RG Sharma,Q de Kock,4,0
725,Mumbai Indians,Q de Kock,SA Yadav,8,6
726,Mumbai Indians,SA Yadav,Ishan Kishan,47,28
727,Mumbai Indians,SA Yadav,KH Pandya,0,0
728,Mumbai Indians,SA Yadav,HH Pandya,18,13
729,Chennai Super Kings,SR Watson,F du Plessis,0,6
730,Chennai Super Kings,SR Watson,SK Raina,0,5
731,Chennai Super Kings,SR Watson,M Vijay,10,10
732,Chennai Super Kings,AT Rayudu,M Vijay,15,16
733,Chennai Super Kings,MS Dhoni,AT Rayudu,37,27
734,Delhi Capitals,S Dhawan,PP Shaw,17,47
735,Delhi Capitals,SS Iyer,PP Shaw,8,8
736,Delhi Capitals,RR Pant,PP Shaw,2,1
737,Delhi Capitals,C Munro,RR Pant,14,10
738,Delhi Capitals,AR Patel,RR Pant,0,0
739,Delhi Capitals,SE Rutherford,RR Pant,9,31
740,Delhi Capitals,KMA Paul,RR Pant,0,6
741,Delhi Capitals,A Mishra,KMA Paul,1,1
742,Delhi Capitals,TA Boult,KMA Paul,0,4
743,Sunrisers Hyderabad,MJ Guptill,WP Saha,23,8
744,Sunrisers Hyderabad,MJ Guptill,MK Pandey,13,12
745,Sunrisers Hyderabad,KS Williamson,MK Pandey,12,18
746,Sunrisers Hyderabad,KS Williamson,V Shankar,16,3
747,Sunrisers Hyderabad,Mohammad Nabi,V Shankar,14,22
748,Sunrisers Hyderabad,Mohammad Nabi,DJ Hooda,6,4
749,Sunrisers Hyderabad,DJ Hooda,Rashid Khan,0,0
750,Sunrisers Hyderabad,B Kumar,Rashid Khan,0,0
751,Sunrisers Hyderabad,B Kumar,Basil Thampi,0,1
752,Chennai Super Kings,SR Watson,F du Plessis,26,50
753,Chennai Super Kings,SR Watson,SK Raina,24,3
754,Chennai Super Kings,AT Rayudu,SK Raina,10,8
755,Chennai Super Kings,MS Dhoni,AT Rayudu,9,9
756,Chennai Super Kings,AT Rayudu,DJ Bravo,1,0
757,Delhi Capitals,S Dhawan,PP Shaw,15,5
758,Delhi Capitals,S Dhawan,C Munro,3,13
759,Delhi Capitals,C Munro,SS Iyer,14,5
760,Delhi Capitals,SS Iyer,RR Pant,8,10
761,Delhi Capitals,AR Patel,RR Pant,3,2
762,Delhi Capitals,SE Rutherford,RR Pant,10,7
763,Delhi Capitals,KMA Paul,RR Pant,3,13
764,Delhi Capitals,A Mishra,RR Pant,0,6
765,Delhi Capitals,A Mishra,TA Boult,6,6
